응답자 ID,train 선호,train 비선호,valid 선호,valid 비선호
18330,W_25879_00_metrosexual_M.jpg,"T_02151_10_sportivecasual_M.jpg, T_02403_50_ivy_M.jpg, T_03727_80_bold_M.jpg, T_04212_90_hiphop_M.jpg, T_07753_10_sportivecasual_M.jpg, T_09086_10_sportivecasual_M.jpg, T_16538_10_sportivecasual_M.jpg, W_10065_60_mods_M.jpg, W_16962_60_mods_M.jpg, W_31790_00_metrosexual_M.jpg",,"T_04526_90_hiphop_M.jpg, T_16538_10_sportivecasual_M.jpg, W_31790_00_metrosexual_M.jpg"
67471,"T_04499_90_hiphop_M.jpg, T_04845_60_mods_M.jpg","T_02170_60_mods_M.jpg, T_04553_90_hiphop_M.jpg",,
1511,T_02182_50_ivy_M.jpg,W_24315_70_hippie_M.jpg,,
14491,"T_02182_50_ivy_M.jpg, T_07526_00_metrosexual_M.jpg, W_16619_90_hiphop_M.jpg","T_07811_00_metrosexual_M.jpg, W_15631_80_bold_M.jpg, W_17495_90_hiphop_M.jpg",,
67506,"T_02182_50_ivy_M.jpg, T_02966_10_sportivecasual_M.jpg, T_03952_90_hiphop_M.jpg","T_04499_90_hiphop_M.jpg, T_04973_80_bold_M.jpg",T_03944_90_hiphop_M.jpg,
67552,,"T_02182_50_ivy_M.jpg, T_05021_10_sportivecasual_M.jpg, W_24317_70_hippie_M.jpg",,
67737,W_03047_80_bold_M.jpg,"T_02182_50_ivy_M.jpg, T_16851_70_hippie_M.jpg, T_16971_70_hippie_M.jpg, W_04484_90_hiphop_M.jpg, W_04733_90_hiphop_M.jpg",W_03047_80_bold_M.jpg,T_16971_70_hippie_M.jpg
68398,T_02182_50_ivy_M.jpg,W_25360_80_bold_M.jpg,,
66034,T_02223_19_lounge_W.jpg,,,
56368,"T_07490_00_oriental_W.jpg, W_13376_50_feminine_W.jpg","T_02230_19_normcore_W.jpg, T_11423_90_kitsch_W.jpg, T_12328_80_powersuit_W.jpg, T_12834_00_oriental_W.jpg",,
66826,"T_02232_19_lounge_W.jpg, W_06439_50_feminine_W.jpg",T_13574_80_powersuit_W.jpg,,
24820,"T_02234_90_hiphop_W.jpg, W_37404_60_space_W.jpg",,W_37404_60_space_W.jpg,T_08674_19_normcore_W.jpg
61165,T_05039_50_classic_W.jpg,"T_02253_19_normcore_W.jpg, T_02876_19_normcore_W.jpg, T_13806_10_sportivecasual_W.jpg",T_01395_50_classic_W.jpg,
40446,"T_08899_60_minimal_W.jpg, T_08910_19_normcore_W.jpg","T_02257_90_grunge_W.jpg, T_05754_19_normcore_W.jpg",W_14923_60_minimal_W.jpg,
62097,T_08607_60_minimal_W.jpg,"T_02257_90_grunge_W.jpg, T_06217_90_kitsch_W.jpg",,
66577,"T_02265_19_normcore_W.jpg, W_10212_60_space_W.jpg",,,
5409,,T_02301_90_hiphop_W.jpg,T_06922_19_normcore_W.jpg,
67696,"T_14901_19_lounge_W.jpg, T_15776_19_normcore_W.jpg, T_15787_19_lounge_W.jpg","T_02301_90_hiphop_W.jpg, T_11818_00_cityglam_W.jpg, T_15780_19_lounge_W.jpg, W_14085_50_feminine_W.jpg",,
59972,"T_02305_19_normcore_W.jpg, W_18249_50_feminine_W.jpg","T_12773_00_ecology_W.jpg, T_13781_10_sportivecasual_W.jpg",W_18249_50_feminine_W.jpg,
65133,"T_02306_10_sportivecasual_W.jpg, W_03152_50_feminine_W.jpg",W_07447_50_feminine_W.jpg,T_02244_19_normcore_W.jpg,
66401,T_02306_10_sportivecasual_W.jpg,,,
15569,T_02337_60_minimal_W.jpg,"T_12384_19_genderless_W.jpg, T_12925_90_kitsch_W.jpg, W_22931_70_punk_W.jpg",T_10465_10_sportivecasual_W.jpg,
65120,"T_02337_60_minimal_W.jpg, T_10177_19_normcore_W.jpg, T_10278_19_normcore_W.jpg","T_12116_80_bodyconscious_W.jpg, T_12812_00_ecology_W.jpg",,T_12812_00_ecology_W.jpg
67298,"T_06926_90_hiphop_W.jpg, T_07959_10_sportivecasual_W.jpg, T_09217_10_athleisure_W.jpg, W_23410_60_minimal_W.jpg",T_02337_60_minimal_W.jpg,"T_08094_10_sportivecasual_W.jpg, W_23410_60_minimal_W.jpg",
23671,"T_02342_90_hiphop_W.jpg, W_03945_50_classic_W.jpg","T_10848_19_normcore_W.jpg, W_14570_60_minimal_W.jpg",T_12378_80_powersuit_W.jpg,W_14570_60_minimal_W.jpg
66780,"T_02342_90_hiphop_W.jpg, T_12026_80_bodyconscious_W.jpg, T_12866_90_hiphop_W.jpg, W_39793_80_powersuit_W.jpg","T_09359_19_lounge_W.jpg, T_10523_19_normcore_W.jpg, T_12155_19_genderless_W.jpg, W_34340_80_bodyconscious_W.jpg","T_05526_50_classic_W.jpg, W_39793_80_powersuit_W.jpg",T_08957_10_sportivecasual_W.jpg
680,,"T_02343_60_minimal_W.jpg, T_02819_60_minimal_W.jpg, W_03162_50_feminine_W.jpg",,
66279,T_02343_60_minimal_W.jpg,"T_10919_90_kitsch_W.jpg, T_11792_19_normcore_W.jpg",,
66823,"T_02345_19_normcore_W.jpg, T_05869_00_cityglam_W.jpg, T_06299_19_normcore_W.jpg, T_09651_60_minimal_W.jpg, T_10577_90_kitsch_W.jpg",T_05770_50_classic_W.jpg,,W_14914_50_feminine_W.jpg
66527,"T_02378_19_normcore_W.jpg, T_05367_19_genderless_W.jpg, W_19935_50_feminine_W.jpg",W_05289_50_feminine_W.jpg,,
66645,"T_02383_19_genderless_W.jpg, W_11214_50_feminine_W.jpg, W_14647_60_minimal_W.jpg",T_09792_19_lounge_W.jpg,W_11214_50_feminine_W.jpg,
52925,"T_02391_90_kitsch_W.jpg, T_02820_10_sportivecasual_W.jpg, T_12120_00_ecology_W.jpg",T_12032_80_powersuit_W.jpg,,
66383,"T_02391_90_kitsch_W.jpg, T_05628_19_lounge_W.jpg","T_07043_19_normcore_W.jpg, T_09479_19_lounge_W.jpg, W_18694_50_feminine_W.jpg",,W_10722_60_space_W.jpg
59995,T_02392_19_normcore_W.jpg,T_12686_19_genderless_W.jpg,W_01035_70_military_W.jpg,
62800,"T_02394_19_normcore_M.jpg, T_07591_00_metrosexual_M.jpg","T_06426_80_bold_M.jpg, T_06595_80_bold_M.jpg, T_07840_60_mods_M.jpg, W_26133_60_mods_M.jpg, W_32800_60_mods_M.jpg",W_15362_60_mods_M.jpg,"T_06426_80_bold_M.jpg, W_32800_60_mods_M.jpg"
51526,T_17926_19_normcore_M.jpg,"T_02403_50_ivy_M.jpg, W_15634_80_bold_M.jpg, W_15638_80_bold_M.jpg, W_16039_70_hippie_M.jpg, W_16047_70_hippie_M.jpg, W_16625_90_hiphop_M.jpg, W_29171_90_hiphop_M.jpg",,"W_16047_70_hippie_M.jpg, W_16624_90_hiphop_M.jpg"
62548,"T_02403_50_ivy_M.jpg, T_18079_19_normcore_M.jpg, W_17427_00_metrosexual_M.jpg","W_24491_70_hippie_M.jpg, W_24492_70_hippie_M.jpg, W_24493_70_hippie_M.jpg, W_24530_70_hippie_M.jpg, W_24533_70_hippie_M.jpg, W_25206_80_bold_M.jpg",,"W_17539_00_metrosexual_M.jpg, W_24493_70_hippie_M.jpg"
67736,W_04524_90_hiphop_M.jpg,"T_02403_50_ivy_M.jpg, T_16898_19_normcore_M.jpg, W_04287_80_bold_M.jpg, W_24263_00_metrosexual_M.jpg, W_24347_00_metrosexual_M.jpg, W_28728_50_ivy_M.jpg",,
62433,W_02816_60_mods_M.jpg,T_02444_19_normcore_M.jpg,W_02816_60_mods_M.jpg,
66747,"T_02456_19_normcore_M.jpg, T_15578_10_sportivecasual_M.jpg, W_12189_60_mods_M.jpg, W_24315_70_hippie_M.jpg, W_26252_60_mods_M.jpg","T_02744_19_normcore_M.jpg, T_04539_90_hiphop_M.jpg, T_07207_10_sportivecasual_M.jpg, T_08791_10_sportivecasual_M.jpg, W_15818_00_metrosexual_M.jpg, W_55375_90_hiphop_M.jpg",,
63056,"T_02497_90_hiphop_M.jpg, T_03807_90_hiphop_M.jpg, T_06607_10_sportivecasual_M.jpg, T_06626_10_sportivecasual_M.jpg",T_07526_00_metrosexual_M.jpg,,
66425,W_10816_60_mods_M.jpg,"T_02497_90_hiphop_M.jpg, W_11052_70_hippie_M.jpg, W_17801_19_normcore_M.jpg, W_25553_60_mods_M.jpg",T_07771_10_sportivecasual_M.jpg,T_01240_19_normcore_M.jpg
67074,"T_02511_19_normcore_M.jpg, T_03992_10_sportivecasual_M.jpg, T_08408_10_sportivecasual_M.jpg, T_15508_10_sportivecasual_M.jpg, W_06551_60_mods_M.jpg","T_04555_90_hiphop_M.jpg, W_52693_00_metrosexual_M.jpg",W_06551_60_mods_M.jpg,W_52693_00_metrosexual_M.jpg
24150,"T_02526_80_bold_M.jpg, T_04029_90_hiphop_M.jpg, T_07625_60_mods_M.jpg, W_06573_60_mods_M.jpg","T_02705_19_normcore_M.jpg, T_05019_10_sportivecasual_M.jpg, W_26967_90_hiphop_M.jpg",,W_12730_00_metrosexual_M.jpg
65537,"T_02526_80_bold_M.jpg, T_03996_90_hiphop_M.jpg, W_06656_60_mods_M.jpg","W_16725_70_hippie_M.jpg, W_24977_70_hippie_M.jpg",,
68747,"T_02527_10_sportivecasual_M.jpg, T_02561_10_sportivecasual_M.jpg, T_02904_10_sportivecasual_M.jpg, T_02908_10_sportivecasual_M.jpg, T_03430_10_sportivecasual_M.jpg, T_03474_10_sportivecasual_M.jpg","T_02794_10_sportivecasual_M.jpg, T_02890_10_sportivecasual_M.jpg, T_03388_10_sportivecasual_M.jpg, T_03457_10_sportivecasual_M.jpg",T_02908_10_sportivecasual_M.jpg,
27144,T_16367_10_sportivecasual_M.jpg,"T_02567_19_normcore_M.jpg, T_06587_10_sportivecasual_M.jpg, W_23905_60_mods_M.jpg",,
66632,"T_02585_19_normcore_M.jpg, T_06438_60_mods_M.jpg","T_06732_10_sportivecasual_M.jpg, W_27890_70_hippie_M.jpg",,
21241,T_02621_19_normcore_M.jpg,"T_09140_10_sportivecasual_M.jpg, W_57318_80_bold_M.jpg",,W_06190_60_mods_M.jpg
66896,"T_02651_19_normcore_M.jpg, W_06676_60_mods_M.jpg",T_03649_60_mods_M.jpg,,
66759,"T_02660_19_normcore_M.jpg, T_15439_10_sportivecasual_M.jpg",W_24880_00_metrosexual_M.jpg,,
16353,"T_02678_19_normcore_M.jpg, T_04482_90_hiphop_M.jpg, W_00805_60_mods_M.jpg, W_01550_60_mods_M.jpg","W_24573_00_metrosexual_M.jpg, W_26397_70_hippie_M.jpg",,"W_24573_00_metrosexual_M.jpg, W_26397_70_hippie_M.jpg"
46264,"T_03890_90_hiphop_M.jpg, T_06852_10_sportivecasual_M.jpg, T_16355_10_sportivecasual_M.jpg","T_02693_19_normcore_M.jpg, W_15987_70_hippie_M.jpg, W_24747_60_mods_M.jpg",,W_24747_60_mods_M.jpg
67078,T_02695_19_normcore_M.jpg,T_04487_90_hiphop_M.jpg,,
10280,,"T_02696_60_mods_M.jpg, W_24515_70_hippie_M.jpg, W_25145_70_hippie_M.jpg",W_00946_50_ivy_M.jpg,W_15699_70_hippie_M.jpg
25546,"T_02696_60_mods_M.jpg, W_06843_60_mods_M.jpg","T_15586_80_bold_M.jpg, W_12770_00_metrosexual_M.jpg, W_16903_60_mods_M.jpg",,
66635,"T_02701_80_bold_M.jpg, T_02999_19_normcore_M.jpg, T_03258_90_hiphop_M.jpg, W_17601_70_hippie_M.jpg",T_06672_10_sportivecasual_M.jpg,W_16503_70_hippie_M.jpg,
66666,W_24325_60_mods_M.jpg,"T_02701_80_bold_M.jpg, T_06076_60_mods_M.jpg, W_15651_70_hippie_M.jpg",,
66530,"T_02710_19_normcore_M.jpg, T_03082_90_hiphop_M.jpg",,,W_16690_60_mods_M.jpg
66434,"T_04031_10_sportivecasual_M.jpg, T_06102_00_metrosexual_M.jpg, T_07840_60_mods_M.jpg","T_02714_19_normcore_M.jpg, W_00041_70_hippie_M.jpg, W_31662_70_hippie_M.jpg",T_04031_10_sportivecasual_M.jpg,
31323,"T_02715_19_normcore_M.jpg, T_03047_60_mods_M.jpg, T_15467_10_sportivecasual_M.jpg, T_16386_10_sportivecasual_M.jpg, W_02696_60_mods_M.jpg, W_16651_60_mods_M.jpg, W_16684_00_metrosexual_M.jpg",,,
49794,"T_03151_90_hiphop_M.jpg, W_09760_60_mods_M.jpg","T_02724_19_normcore_M.jpg, W_15402_70_hippie_M.jpg, W_24243_70_hippie_M.jpg",,"W_10781_60_mods_M.jpg, W_15402_70_hippie_M.jpg"
67136,"T_03092_19_normcore_M.jpg, T_03821_10_sportivecasual_M.jpg, T_06374_10_sportivecasual_M.jpg, W_24102_60_mods_M.jpg","T_02741_19_normcore_M.jpg, W_16051_60_mods_M.jpg, W_25520_60_mods_M.jpg",W_24102_60_mods_M.jpg,T_07586_10_sportivecasual_M.jpg
23139,,"T_02748_80_bold_M.jpg, T_04522_90_hiphop_M.jpg, W_10058_60_mods_M.jpg, W_52583_50_ivy_M.jpg",,
66842,"T_02748_80_bold_M.jpg, T_03160_19_normcore_M.jpg, T_04684_10_sportivecasual_M.jpg, T_06083_10_sportivecasual_M.jpg, T_07194_60_mods_M.jpg, T_16520_10_sportivecasual_M.jpg, W_27765_60_mods_M.jpg",W_24352_70_hippie_M.jpg,"T_06502_10_sportivecasual_M.jpg, W_27765_60_mods_M.jpg",W_16485_00_metrosexual_M.jpg
6248,"T_02754_19_normcore_M.jpg, T_06517_10_sportivecasual_M.jpg, T_06771_10_sportivecasual_M.jpg, T_07792_80_bold_M.jpg","T_03033_19_normcore_M.jpg, T_15480_80_bold_M.jpg, T_15848_80_bold_M.jpg, W_11116_00_metrosexual_M.jpg",,
51186,T_05950_60_mods_M.jpg,"T_02759_19_normcore_M.jpg, T_02765_90_hiphop_M.jpg, T_15464_60_mods_M.jpg, W_30403_60_mods_M.jpg",,W_30403_60_mods_M.jpg
66166,"T_02771_19_normcore_M.jpg, T_03043_60_mods_M.jpg, W_30406_60_mods_M.jpg, W_32039_60_mods_M.jpg","T_06595_80_bold_M.jpg, W_16677_70_hippie_M.jpg, W_24031_60_mods_M.jpg",,
18552,"T_02777_90_hiphop_M.jpg, T_03532_19_normcore_M.jpg, T_03890_90_hiphop_M.jpg, W_15308_60_mods_M.jpg, W_17639_00_metrosexual_M.jpg","W_09119_60_mods_M.jpg, W_15817_60_mods_M.jpg, W_25444_60_mods_M.jpg",,W_09119_60_mods_M.jpg
17178,W_06573_60_mods_M.jpg,"T_02779_19_normcore_M.jpg, T_04514_90_hiphop_M.jpg, T_06636_10_sportivecasual_M.jpg, T_12811_00_metrosexual_M.jpg, T_16449_10_sportivecasual_M.jpg, W_15207_60_mods_M.jpg",,
63764,"T_02804_19_normcore_W.jpg, T_15756_19_normcore_W.jpg, W_01374_50_feminine_W.jpg, W_10330_70_hippie_W.jpg, W_18385_60_minimal_W.jpg",,,
50093,"T_04409_19_lounge_W.jpg, W_02391_50_feminine_W.jpg","T_02814_19_normcore_W.jpg, T_07001_19_genderless_W.jpg",,"T_08898_60_minimal_W.jpg, W_33876_60_popart_W.jpg, W_37491_70_military_W.jpg"
66906,T_02818_19_normcore_W.jpg,"T_12896_00_ecology_W.jpg, W_10577_70_disco_W.jpg, W_10981_50_feminine_W.jpg",T_13755_00_cityglam_W.jpg,
54076,"T_04068_90_hiphop_W.jpg, W_30454_60_minimal_W.jpg","T_02819_60_minimal_W.jpg, T_11423_90_kitsch_W.jpg, W_13625_70_punk_W.jpg",,
66606,"T_02820_10_sportivecasual_W.jpg, T_07271_19_normcore_W.jpg, T_08639_19_normcore_W.jpg",,,
67707,,T_02834_90_grunge_W.jpg,,W_14225_50_feminine_W.jpg
64282,,"T_02840_90_hiphop_W.jpg, T_05760_10_sportivecasual_W.jpg, T_06278_19_normcore_W.jpg, W_13329_50_feminine_W.jpg",,"W_13329_50_feminine_W.jpg, W_47408_80_powersuit_W.jpg"
64144,T_06287_10_sportivecasual_W.jpg,"T_02845_19_genderless_W.jpg, W_19839_50_feminine_W.jpg",,T_14108_19_normcore_W.jpg
62913,T_02846_50_classic_W.jpg,"T_11220_00_oriental_W.jpg, W_19192_60_minimal_W.jpg","T_05321_50_classic_W.jpg, W_18058_50_classic_W.jpg",
66390,"T_02846_50_classic_W.jpg, T_09278_19_lounge_W.jpg, W_48434_10_sportivecasual_W.jpg",T_08913_10_athleisure_W.jpg,,
66727,"T_02846_50_classic_W.jpg, T_13893_19_normcore_W.jpg, W_05250_70_punk_W.jpg, W_08765_60_space_W.jpg",T_12698_00_oriental_W.jpg,,
66869,,"T_02852_19_normcore_W.jpg, T_12481_19_genderless_W.jpg",,
65233,T_07077_60_space_W.jpg,"T_02855_00_oriental_W.jpg, T_08584_10_sportivecasual_W.jpg",,T_08584_10_sportivecasual_W.jpg
66824,,"T_02855_00_oriental_W.jpg, T_11046_00_oriental_W.jpg, W_14791_70_hippie_W.jpg","W_18058_50_classic_W.jpg, W_44232_90_kitsch_W.jpg",
60760,,"T_02878_10_sportivecasual_W.jpg, T_09011_10_sportivecasual_W.jpg, W_13247_60_minimal_W.jpg, W_47251_70_hippie_W.jpg",,
67571,T_02878_10_sportivecasual_W.jpg,T_10558_19_normcore_W.jpg,,
1229,T_02879_90_hiphop_W.jpg,"T_11027_80_powersuit_W.jpg, T_12902_00_ecology_W.jpg",,
23364,"T_02879_90_hiphop_W.jpg, T_07445_60_minimal_W.jpg",W_07415_50_feminine_W.jpg,W_19003_50_feminine_W.jpg,
61646,T_12552_19_lounge_W.jpg,"T_02888_90_kitsch_W.jpg, W_14299_70_disco_W.jpg, W_18902_50_feminine_W.jpg",,W_14299_70_disco_W.jpg
19773,T_02890_10_sportivecasual_M.jpg,T_03933_90_hiphop_M.jpg,,
20421,T_15283_60_mods_M.jpg,"T_02891_00_metrosexual_M.jpg, T_19264_70_hippie_M.jpg, W_15235_80_bold_M.jpg, W_15519_90_hiphop_M.jpg, W_16348_90_hiphop_M.jpg",,T_19264_70_hippie_M.jpg
62324,"T_03934_90_hiphop_M.jpg, T_07759_10_sportivecasual_M.jpg","T_02891_00_metrosexual_M.jpg, W_24543_70_hippie_M.jpg",,W_24543_70_hippie_M.jpg
66437,"T_03927_90_hiphop_M.jpg, T_06402_80_bold_M.jpg","T_02891_00_metrosexual_M.jpg, T_03599_60_mods_M.jpg, W_02765_70_hippie_M.jpg, W_06863_60_mods_M.jpg, W_24059_50_ivy_M.jpg, W_32536_70_hippie_M.jpg",,"W_07187_70_hippie_M.jpg, W_32536_70_hippie_M.jpg"
66617,T_09085_80_bold_M.jpg,"T_02897_90_hiphop_M.jpg, W_52586_50_ivy_M.jpg",,
67083,,T_02897_90_hiphop_M.jpg,,T_15527_80_bold_M.jpg
67309,"T_15465_10_sportivecasual_M.jpg, W_06814_60_mods_M.jpg","T_02897_90_hiphop_M.jpg, T_04237_90_hiphop_M.jpg, W_00474_60_mods_M.jpg, W_12896_60_mods_M.jpg, W_17168_60_mods_M.jpg, W_26188_70_hippie_M.jpg, W_26631_80_bold_M.jpg",W_06814_60_mods_M.jpg,W_16699_00_metrosexual_M.jpg
30882,"T_02904_10_sportivecasual_M.jpg, W_51362_50_ivy_M.jpg","W_04268_70_hippie_M.jpg, W_26296_70_hippie_M.jpg",,W_04268_70_hippie_M.jpg
67018,"T_02918_10_sportivecasual_M.jpg, T_03876_90_hiphop_M.jpg","T_04568_90_hiphop_M.jpg, T_07625_60_mods_M.jpg, W_10816_60_mods_M.jpg",T_06437_10_sportivecasual_M.jpg,
52485,"T_04233_90_hiphop_M.jpg, T_06116_10_sportivecasual_M.jpg","T_02919_80_bold_M.jpg, T_15486_10_sportivecasual_M.jpg",,
67115,"T_02919_80_bold_M.jpg, T_09085_80_bold_M.jpg, T_09788_10_sportivecasual_M.jpg","T_14272_10_sportivecasual_M.jpg, W_16406_70_hippie_M.jpg",,
67192,"T_08713_10_sportivecasual_M.jpg, T_15005_80_bold_M.jpg, W_04217_60_mods_M.jpg, W_15103_60_mods_M.jpg","T_02927_90_hiphop_M.jpg, T_15623_80_bold_M.jpg",,
67555,T_02927_90_hiphop_M.jpg,,T_06042_10_sportivecasual_M.jpg,
60739,"T_02937_19_normcore_M.jpg, T_16452_10_sportivecasual_M.jpg","T_04482_90_hiphop_M.jpg, T_06055_10_sportivecasual_M.jpg, T_12573_80_bold_M.jpg, T_16084_10_sportivecasual_M.jpg",,
23693,"T_02944_10_sportivecasual_M.jpg, T_06453_10_sportivecasual_M.jpg",T_03727_80_bold_M.jpg,,
51480,,"T_02951_19_normcore_M.jpg, T_06595_80_bold_M.jpg, W_06557_60_mods_M.jpg",,W_06557_60_mods_M.jpg
31880,T_04614_90_hiphop_M.jpg,"T_02967_19_normcore_M.jpg, T_03933_90_hiphop_M.jpg, T_04604_10_sportivecasual_M.jpg, T_06031_60_mods_M.jpg, T_16702_80_bold_M.jpg, W_06786_70_hippie_M.jpg, W_15262_60_mods_M.jpg",,"T_06031_60_mods_M.jpg, W_06786_70_hippie_M.jpg, W_12599_60_mods_M.jpg"
66351,,"T_02978_19_normcore_M.jpg, W_06287_60_mods_M.jpg, W_25698_00_metrosexual_M.jpg",,
65525,W_10826_60_mods_M.jpg,"T_02983_19_normcore_M.jpg, T_03556_60_mods_M.jpg, T_09119_10_sportivecasual_M.jpg, W_06684_60_mods_M.jpg",T_04852_60_mods_M.jpg,
58278,"T_03003_19_normcore_M.jpg, T_03736_90_hiphop_M.jpg","T_05933_80_bold_M.jpg, W_24661_60_mods_M.jpg, W_26288_70_hippie_M.jpg",,W_26288_70_hippie_M.jpg
66496,"T_03007_10_sportivecasual_M.jpg, T_06759_60_mods_M.jpg","W_04408_60_mods_M.jpg, W_12902_70_hippie_M.jpg, W_15661_70_hippie_M.jpg",,W_15661_70_hippie_M.jpg
66449,T_06426_80_bold_M.jpg,T_03013_10_sportivecasual_M.jpg,T_06426_80_bold_M.jpg,
50099,"T_08773_10_sportivecasual_M.jpg, W_12896_60_mods_M.jpg, W_15766_00_metrosexual_M.jpg, W_24717_60_mods_M.jpg","T_03043_60_mods_M.jpg, T_07245_10_sportivecasual_M.jpg, W_02742_60_mods_M.jpg","W_15766_00_metrosexual_M.jpg, W_24717_60_mods_M.jpg",
67315,"T_03043_60_mods_M.jpg, T_07834_10_sportivecasual_M.jpg","T_04842_60_mods_M.jpg, T_15409_00_metrosexual_M.jpg, W_16806_00_metrosexual_M.jpg, W_17347_00_metrosexual_M.jpg, W_17535_70_hippie_M.jpg, W_24448_70_hippie_M.jpg",,W_17347_00_metrosexual_M.jpg
65631,"T_03044_19_normcore_M.jpg, T_15453_10_sportivecasual_M.jpg, W_07286_70_hippie_M.jpg, W_51757_50_ivy_M.jpg",W_28177_70_hippie_M.jpg,,
28106,T_03047_60_mods_M.jpg,,,
67046,"T_03082_90_hiphop_M.jpg, T_16362_10_sportivecasual_M.jpg","T_16255_80_bold_M.jpg, W_17207_00_metrosexual_M.jpg, W_25342_00_metrosexual_M.jpg, W_30443_60_mods_M.jpg",,
66639,"T_03125_90_hiphop_M.jpg, W_06287_60_mods_M.jpg","W_15848_60_mods_M.jpg, W_24569_70_hippie_M.jpg",T_04543_90_hiphop_M.jpg,
67290,"T_03144_10_sportivecasual_M.jpg, T_16659_00_metrosexual_M.jpg, T_16661_00_metrosexual_M.jpg",,,
66567,,T_03151_90_hiphop_M.jpg,T_02487_19_normcore_M.jpg,
66598,T_03151_90_hiphop_M.jpg,"W_07333_70_hippie_M.jpg, W_09152_60_mods_M.jpg, W_52548_50_ivy_M.jpg",,"W_07333_70_hippie_M.jpg, W_09152_60_mods_M.jpg"
56852,,"T_03152_19_normcore_M.jpg, W_15312_60_mods_M.jpg, W_17219_70_hippie_M.jpg, W_56065_50_ivy_M.jpg",W_24770_60_mods_M.jpg,
64427,"T_04685_90_hiphop_M.jpg, W_02681_60_mods_M.jpg, W_02710_50_ivy_M.jpg, W_24811_60_mods_M.jpg","T_03162_19_normcore_M.jpg, W_06186_60_mods_M.jpg, W_15095_50_ivy_M.jpg",,W_06186_60_mods_M.jpg
67081,W_02736_60_mods_M.jpg,"T_03194_19_normcore_M.jpg, T_04514_90_hiphop_M.jpg, T_04555_90_hiphop_M.jpg, T_04687_80_bold_M.jpg, W_24352_70_hippie_M.jpg",W_02736_60_mods_M.jpg,
66413,"W_01539_60_mods_M.jpg, W_32407_60_mods_M.jpg","T_03258_90_hiphop_M.jpg, T_06498_00_metrosexual_M.jpg","T_01514_50_ivy_M.jpg, W_32407_60_mods_M.jpg",T_00495_19_normcore_M.jpg
66585,T_03268_90_hiphop_M.jpg,"W_24155_60_mods_M.jpg, W_32426_70_hippie_M.jpg","T_02086_10_sportivecasual_M.jpg, T_04543_90_hiphop_M.jpg, W_10781_60_mods_M.jpg",
66681,,"T_03268_90_hiphop_M.jpg, T_04524_90_hiphop_M.jpg, W_54465_80_bold_M.jpg, W_59075_00_metrosexual_M.jpg",,"T_04524_90_hiphop_M.jpg, W_54465_80_bold_M.jpg"
66441,"T_03732_90_hiphop_M.jpg, T_06920_00_metrosexual_M.jpg, T_07997_10_sportivecasual_M.jpg","T_03285_19_normcore_M.jpg, W_09123_60_mods_M.jpg, W_12635_70_hippie_M.jpg",,W_12635_70_hippie_M.jpg
66838,"T_04484_90_hiphop_M.jpg, T_06811_10_sportivecasual_M.jpg, T_15820_10_sportivecasual_M.jpg, W_06531_60_mods_M.jpg, W_15511_00_metrosexual_M.jpg, W_26375_70_hippie_M.jpg","T_03287_90_hiphop_M.jpg, T_04723_10_sportivecasual_M.jpg, W_12527_70_hippie_M.jpg, W_16069_00_metrosexual_M.jpg, W_27708_00_metrosexual_M.jpg",W_06531_60_mods_M.jpg,
67059,"T_03287_90_hiphop_M.jpg, T_08004_10_sportivecasual_M.jpg, W_09140_60_mods_M.jpg",W_12581_70_hippie_M.jpg,,
28682,T_03293_90_hiphop_M.jpg,"W_17499_70_hippie_M.jpg, W_24210_50_ivy_M.jpg",,
66582,"W_01726_60_mods_M.jpg, W_04622_60_mods_M.jpg","T_03293_90_hiphop_M.jpg, T_04583_90_hiphop_M.jpg",W_04622_60_mods_M.jpg,
8709,"T_03348_19_normcore_M.jpg, W_15259_60_mods_M.jpg, W_16243_60_mods_M.jpg","W_02845_60_mods_M.jpg, W_10125_70_hippie_M.jpg, W_64955_50_ivy_M.jpg",,"W_02845_60_mods_M.jpg, W_10125_70_hippie_M.jpg"
66543,"T_03385_19_normcore_M.jpg, W_55820_90_hiphop_M.jpg","W_15184_60_mods_M.jpg, W_15458_70_hippie_M.jpg",,W_15184_60_mods_M.jpg
66445,"T_03685_80_bold_M.jpg, W_12803_70_hippie_M.jpg","T_03405_19_normcore_M.jpg, W_16659_00_metrosexual_M.jpg",W_12803_70_hippie_M.jpg,
66837,"T_03412_19_normcore_M.jpg, T_03925_90_hiphop_M.jpg, T_04444_00_metrosexual_M.jpg, T_04972_10_sportivecasual_M.jpg, T_15653_10_sportivecasual_M.jpg, W_24769_60_mods_M.jpg, W_25371_60_mods_M.jpg",T_06786_10_sportivecasual_M.jpg,"T_08513_60_mods_M.jpg, W_52578_50_ivy_M.jpg",
2228,"T_03430_10_sportivecasual_M.jpg, W_06546_60_mods_M.jpg, W_15579_70_hippie_M.jpg","T_04519_90_hiphop_M.jpg, W_24773_80_bold_M.jpg",,
66877,,"T_03437_19_normcore_M.jpg, T_06040_60_mods_M.jpg, T_07643_10_sportivecasual_M.jpg, W_16688_00_metrosexual_M.jpg",,
