"tck_iem_cd","fc_sec_krl_nm","fc_sec_eng_nm","stk_etf_dit_cd","ltg_tot_stk_qty","fc_mkt_dit_cd","co_adr","web_adr","btp_cfc_nm","ceo_nm","eng_utk_otl_cts","ser_cfc_nm","ids_nm","mkt_pr_tot_amt"
ARR,ARMOUR Residtl                                              ,ARMOUR Residtl                                              ,주식,48765569,NYSE,"SUITE 201, 3001 OCEAN DRIVE   VERO BEACH FL 32963 United States",https://www.armourreit.com/,Mortgage REITs,Scott Ulm,"ARMOUR Residential REIT, Inc. is a real estate investment trust. The Company brings private capital into the mortgage markets to support home ownership for a broad and diverse spectrum of Americans. The Company seeks to create stockholder value through thoughtful investment and risk management of a leveraged and diversified portfolio of mortgage backed securities (MBS). It prioritizes maintaining common share dividends appropriate for the intermediate term rather than focusing on short-term market fluctuations. It invests in MBS, issued or guaranteed by a United States Government-sponsored entity (GSE), such as the Federal National Mortgage Association (Fannie Mae), the Federal Home Loan Mortgage Corporation (Freddie Mac), or a government agency such as Government National Mortgage Administration (Ginnie Mae) (collectively, Agency Securities). Its Agency Securities consist of fixed rate loans. The Company is managed by ARMOUR Capital Management LP, an investment advisor.",Real Estate,REIT - Mortgage,988.480000
ARRY,Array Tech                                                  ,Array Tech                                                  ,주식,151875097,NASD,"3901 Midway Place Ne   ALBUQUERQUE NM 87109 United States",https://arraytechinc.com/,Renewable Energy Equipment & Services (N,Kevin Hostetler,"Array Technologies, Inc. is a provider of utility-scale solar tracker technology. The Company manufactures ground-mounting tracking systems used in utility and distributed generation solar energy projects worldwide. The Company?? segments include Array Legacy Operations and STI Legacy Operations. Its principal products are a portfolio of integrated solar tracking systems comprised of software and hardware that include, component parts, such as steel tubing, steel supports, drivelines, center structures, electric motors, motor controller assemblies, bearing assemblies, gearboxes and electronic controllers commonly referred to as a single-axis tracker. Its flagship tracker uses a patented design that allows one motor to drive multiple rows of solar panels. Its products and services include Tracker Systems; DuraTrack HZ v3; Array STI H250; Array OmniTrack, and SmarTrack Software. SmarTrack is its range of software and control-based products designed for utility-scale solar sites.",Technology,Solar,1048.290000
ARTNA,아티전 리소시스                                                    ,Artesian Rsc                                                ,주식,10295560,NASD,"664 CHURCHMANS RD   NEWARK DE 19702 United States",https://www.artesianwater.com/,Water Supply & Irrigation Systems,Dian Taylor,"Artesian Resources Corporation is a holding company. The Company offers water, wastewater, and other services in Delaware, Maryland, and Pennsylvania. The Company operates through the Regulated Utility segment. The Regulated Utility segment includes an aggregation of its five regulated utility subsidiaries that are in the business of providing regulated water and wastewater services on the Delmarva Peninsula. Its regulated water utility services include treating, distributing, and selling water to residential, commercial, industrial, governmental, municipal, and utility customers throughout the State of Delaware and in Cecil County, Maryland, and to a residential community in Chester County, Pennsylvania. The regulated wastewater utility services include the treatment and disposal of wastewater for customers in Sussex County, Delaware. In addition, it provides contract water and wastewater operations, and water, sewer, and internal service line protection plans.",Utilities,Utilities - Regulated Water,371.290000
ARVN,"Arvinas, Inc.                                               ",Arvinas                                                     ,주식,68648061,NASD,"5 Science Park   NEW HAVEN CT 06511-1966 United States",https://www.arvinas.com/,Bio Therapeutic Drugs,John Houston,"Arvinas, Inc. is a clinical-stage biotechnology company focused on improving the lives of patients suffering from debilitating and life-threatening diseases through the discovery, development, and commercialization of therapies that degrade disease-causing proteins. The Company uses its PROTAC Discovery Engine platform to engineer proteolysis targeting chimeras, or PROTAC targeted protein degraders, that are designed to harness the body's own natural protein disposal system to selectively and efficiently degrade and remove disease-causing proteins. It has four investigational clinical-stage programs: vepdegestrant (ARV-471) for the treatment of patients with locally advanced or metastatic ER+/HER2- breast cancer; ARV-766 and bavdegalutamide for the treatment of men with metastatic castration-resistant prostate cancer, and ARV-102 for the treatment of patients with neurodegenerative disorders. Its product candidate, ARV-393, is designed to target the B-cell lymphoma 6, or BCL6 protein.",Healthcare,Biotechnology,1841.140000
ARW,애로우 일렉트로닉스                                                  ,Arrow Electronic                                            ,주식,52944169,NYSE,"9151 East Panorama Circle   CENTENNIAL CO 80112 United States",https://www.arrow.com/,Semiconductors (NEC),Sean Kerins,"Arrow Electronics, Inc. is a provider of products, services, and solutions to industrial and commercial users of electronic components and enterprise computing solutions. Its segments include the global components business and the global enterprise computing solutions (ECS) business. The global components business segment distributes electronic components to original equipment manufacturers and contract manufacturers. The ECS business segment provides enterprise computing solutions to value-added resellers and managed service providers. The Global ECS portfolio of computing solutions includes cloud and security. Global ECS provides cloud solutions to businesses through ArrowSphere, a cloud marketplace and management platform. It maintains over 180 sales facilities and 39 distribution and value-added centers, serving over 85 countries. Both its segments have operations in each of the three electronics markets; the Americas; Europe, Middle East, and Africa, and Asia-Pacific regions.",Technology,Electronics & Computer Distribution,7066.990000
ARWR,애로우헤드 파마수티컬스                                                ,Arrowhead Pharms                                            ,주식,124315274,NASD,"177 E Colorado Blvd, Suite 700   PASADENA CA 91105 United States",https://arrowheadpharma.com/,Bio Therapeutic Drugs,Christopher Anzalone,"Arrowhead Pharmaceuticals, Inc. develops medicines that treat intractable diseases by silencing the genes that cause them. The Company's therapies, using a broad portfolio of ribonucleic acid (RNA) chemistries and modes of delivery, trigger the RNA interference (RNAi) mechanism to induce rapid, deep and durable knockdown of target genes. The Company's Targeted RNAi Molecule (TRiMTM) platform utilizes ligand-mediated delivery and is designed to enable tissue-specific targeting while being structurally simple. It is focused on various therapeutic areas, such as cardiometabolic, pulmonary, liver, muscle and central nervous system. It has around 14 clinical-stage investigational medicines (nine wholly owned and five partnered), which range in development stage from Phase I to Phase III. The Company's pipeline products include Plozasiran, Zodasiran, Olpasiran, ARO-RAGE, ARO-MUC5AC, ARO-MMP7, GSK-4532990, Fazirsiran, JNJ-3989, HZN-457, ARO-C3, ARO-PNPLA3, ARO-DUX4 and ARO-SOD1.",Healthcare,Biotechnology,3073.070000
ASAN,Asana                                                       ,Asana                                                       ,주식,228104450,NYSE,"633 FOLSOM STREET, SUITE 100   SAN FRANCISCO CA 94107 United States",https://asana.com/,Application Software,Dustin Moskovitz,"Asana, Inc. is a provider of a work management software platform. The Company's platform automates complex operational workflows, such as product launches and employee onboarding, resource planning, tracking company-wide strategic initiatives and more. Its platform adds structure to unstructured work, creating clarity, accountability, and impact for everyone within an organization - individuals, team leads, and executives - so they understand exactly who is doing what, and by when. The Asana Work Graph is the technology that makes it possible for every individual and team to view their work in a way that is personally relevant to them, while maintaining a single, up-to-date, record of every goal, portfolio, project, and task. The Asana platform maintains a robust application programming interface (API) that enables developers to build apps on Asana and integrate efficiently with applications like Microsoft Teams, Slack, Jira, Salesforce, Gmail, Adobe Creative Cloud and many more.",Technology,Software - Application,3312.080000
ASB,어소시에이티드 뱅크코프                                                ,Assoc Bancorp                                               ,주식,150900815,NYSE,"433 Main Street   GREEN BAY WI 54301 United States",https://www.associatedbank.com/,Corporate Banks,Andrew Harmening,"Associated Banc-Corp is a bank holding company. The Company, through Associated Bank and various nonbanking subsidiaries, provides a range of banking and nonbanking products and services to individuals and businesses. The Company is a banking franchise, offering a full range of financial products and services from more than 200 banking locations serving more than 100 communities throughout Wisconsin, Illinois, and Minnesota. Its Corporate and Commercial Specialty segment consists of lending and deposit solutions to larger businesses, developers, not-for-profits, municipalities, and financial institutions, and the support to deliver, fund, and manage such banking solutions. Its Community, Consumer, and Business segment consists of lending and deposit solutions to individuals and small to mid-sized businesses. Its Risk Management and Shared Services segment includes key shared corporate functions, parent company activity, intersegment eliminations, and residual revenues and expenses.",Financial Services,Banks - Regional,3390.740000
ASGN,ASGN                                                        ,ASGN                                                        ,주식,44800000,NYSE,"4400 Cox Road, Suite 110   GLEN ALLEN VA 23060 United States",https://www.asgn.com/,IT Services & Consulting (NEC),Randolph Blazer,"ASGN Incorporated is a provider of information technology (IT) services and solutions to the commercial and government sectors. The Company operates through two segments: Commercial and Federal Government. The Commercial segment provides IT services and solutions, digital and creative services to Fortune 1000 and large enterprise clients across the United States, Canada and Europe. The Federal Government segment delivers advanced solutions in cloud and enterprise IT, cybersecurity, artificial intelligence, machine learning and digital transformation to meet the mission critical needs of defense, intelligence and federal civilian agencies. This segment provides services under time-and-materials, cost reimbursable, and firm-fixed-price contracts. The Company helps corporate enterprises and government organizations develop, implement and operate critical IT and business solutions through its integrated offering of IT consulting and professional staffing.",Technology,Information Technology Services,4271.680000
ASH,Ashland                                                     ,Ashland                                                     ,주식,48831868,NYSE,"8145 BLAZER DRIVE   WILMINGTON DE 19808 United States",https://www.ashland.com/,Diversified Chemicals,Guillermo Novo,"Ashland Inc. is a global specialty additives and materials company. The Company serves customers in a wide range of consumer and industrial markets, including architectural coatings, construction, energy, food and beverage, nutraceuticals, personal care, and pharmaceutical. The Company's segments include life sciences, personal care, specialty additives and intermediates. The life sciences segment is comprised of pharmaceuticals, nutrition, nutraceuticals, agricultural chemicals, diagnostic films and fine chemicals. The personal care segment is comprised of bio functionals, microbial protectants (preservatives), skin care, sun care, oral care, hair care and household solutions. The specialty additives segment is comprised of rheology and additives serving the architectural coatings, construction, energy, automotive and various industrial markets. Its Intermediates segment is comprised of the production of 1,4 butanediol (BDO) and related derivatives, including n-methyl pyrrolidone.",Basic Materials,Specialty Chemicals,4326.500000
ASIX,어드밴식스                                                       ,AdvanSix                                                    ,주식,26712936,NYSE,"300 Kimball Drive, Suite 101   PARSIPPANY NJ 07054 United States",https://www.advansix.com/,Specialty Chemicals (NEC),Erin Kane,"AdvanSix Inc. is a diversified chemistry company. It produces essential materials for its customers in a variety of end markets and applications, including building and construction, fertilizers, agrochemicals, plastics, solvents, packaging, paints, coatings, adhesives, and electronics. Its product lines include Nylon, Caprolactam, Ammonium Sulfate, and Chemical Intermediate. It sells its Nylon 6 resin globally, primarily under the Aegis brand name. Nylon 6 is a polymer resin, which is a synthetic material used by its customers to produce fibers, filaments, engineered plastics and films. Caprolactam is the monomer used in the production of Nylon 6 resin. Its ammonium sulfate is used by customers as a fertilizer containing nitrogen and sulfur, two key plant nutrients. It manufactures, markets, and sells a number of other chemical intermediate products, such as phenol, alpha-methyl styren, cyclohexanone, 2-pentanone oxime, cyclohexanol, sulfuric acid, ammonia and carbon dioxide.",Basic Materials,Chemicals,802.720000
ASLE,AerSale                                                     ,AerSale                                                     ,주식,53207348,NASD,"255 Alhambra Circle, Suite 435   CORAL GABLES FL 33134 United States",https://www.aersale.com/,Aircraft Parts Manufacturing,Nicolas Finazzo,"AerSale Corporation is a provider of aftermarket commercial aircraft and engines (flight equipment) and their parts to airlines, leasing companies, manufacturers of original equipment, government and defense contractors, and repair and overhaul service providers. The Company?? segments include Asset Management Solutions and Technical Operations (TechOps). Asset Management Solutions segment comprised of activities that extract value from strategic asset acquisitions either as whole assets or by disassembling for used serviceable material (USM). Its TechOps segment provides internal and third-party aviation services, including internally developed engineered solutions, full heavy aircraft maintenance and modification, component maintenance, repair, and overhaul (MRO), as well as end-of-life disassembly services. The TechOps segment also includes MRO services for landing gear, thrust reversers, hydraulic systems, and other aircraft components.",Industrials,Airports & Air Services,269.760000
ASM,아비노 실버 & 골드 마인스                                             ,Avino Silver                                                ,주식,135104802,-,-,-,-,-,-,-,-,0.000000
ASO,Academy Sports                                              ,Academy Sports                                              ,주식,72125426,NASD,"1800 North Mason Road   KATY TX 77449 United States",http://corporate.academy.com/,Sports & Outdoors Retailers,Samuel Johnson,"Academy Sports and Outdoors, Inc. is a full-line sporting goods and outdoor recreation retailer in the United States. The Company's product assortment is focused on key categories of outdoor, apparel, sports and recreation, and footwear through both national brands and a portfolio of 19 private label brands. It has preferred access to national brands, such as Nike, Under Armour, adidas, Winchester, Columbia Sportswear, Brooks, Skechers, Yeti and Carhartt. Its private label brand portfolio consists of Academy Sports + Outdoors, Magellan Outdoors, BCG, O'rageous, Game Winner, Outdoor Gourmet, Freely and R.O.W. Its primary product types include coolers and drinkware, camping accessories and camping equipment; fitness equipment, fitness accessories and nutrition supplies; outdoor apparel, seasonal apparel, denim, work apparel, graphic t-shirts and accessories; casual shoes, slippers, seasonal footwear, socks; boys and girls footwear, and work and western boots, shoes and hunting footwear.",Consumer Cyclical,Specialty Retail,3985.650000
ASPI,ASP Isotopes                                                ,ASP Isotopes                                                ,주식,66686941,NASD,"1101 Pennsylvania Avenue Nw, Suite 300   WASHINGTON DC 20004 United States",https://aspisotopes.com/,Pharmaceuticals (NEC),Paul Mann,"ASP Isotopes Inc. is a development stage advanced materials company. The Company is engaged in the development of technology and processes to produce isotopes for use in multiple industries. The Company employs proprietary technology, the Aerodynamic Separation Process (ASP technology). Its initial focus is on producing and commercializing highly enriched isotopes for the healthcare and technology industries. Its Nuclear Fuels segment is focused on research and development of technologies and methods used to produce high-assay low-enriched uranium (HALEU) and Lithium-6 for the advanced nuclear fuels target end market. Its Specialist Isotopes and Related Services segment is focused on research and development of technologies and methods used to separate high-value, low-volume isotopes (such as C-14, Mo-100, and Si-28) for highly specialized target end markets other than advanced nuclear fuels, including pharmaceuticals and agrochemicals, nuclear medical imaging, and others.",Basic Materials,Chemicals,170.050000
ASTE,아스텍 인더스트리스                                                  ,Astec Industries                                            ,주식,22800581,NASD,"1725 Shepherd Rd   CHATTANOOGA TN 37421-2947 United States",https://www.astecindustries.com/,Construction Machinery,Jaco van Der Merwe,"Astec Industries, Inc. designs, engineers, manufactures, markets, and equipment and components used primarily in asphalt and concrete road building and related construction activities. Its Infrastructure Solutions segment designs, engineers, manufactures and markets a complete line of asphalt and concrete plants, components and ancillary equipment, and asphalt road construction equipment, industrial thermal systems, land clearing, recycling and other heavy equipment. Its Materials Solutions segment designs and manufactures heavy rock processing equipment, in addition to servicing and supplying parts for the aggregate, mining, recycling, ports and bulk handling markets. The Company's products are marketed both domestically and internationally primarily to asphalt producers; highway and heavy equipment contractors; utility contractors; sand and gravel producers; construction, demolition, recycle and crushing contractors; forestry and environmental recycling contractors, and others.",Industrials,Farm & Heavy Construction Machinery,787.530000
ASTS,Ast Spacemobile                                             ,Ast Spacemobile                                             ,주식,269394431,NASD,Midland Intl. Air & Space Port 2901 Enterprise Lane  MIDLAND TX 79706 United States,-,Satellite Service Operators,Abel Avellan,"AST SpaceMobile, Inc. is engaged in building a global cellular broadband network in space to operate directly with standard, unmodified mobile devices based on its intellectual property (IP) and patent portfolio, and designed for both commercial and government applications. Its SpaceMobile Service is being designed to provide high-speed cellular broadband services to end-users who are out of terrestrial cellular coverage using existing mobile devices. The Company is engaged in designing and developing the constellation of BlueBird (BB) satellites in advance of launching its planned space-based cellular broadband network distributed through a constellation of low earth orbit (LEO) satellites. The Company intends to continue testing the capabilities of the BlueWalker 3 (BW3) test satellite, including further testing with cellular service providers and devices. The Company primarily operates in the United States, India, Scotland, Spain and Israel.",Technology,Communication Equipment,5315.930000
ASUR,어슈어 소프트웨어                                                   ,Asure Softwr                                                ,주식,26457955,NASD,"405 Colorado St, #1800   AUSTIN TX 78701 United States",https://www.asuresoftware.com/,Software (NEC),Patrick Goepel,"Asure Software, Inc. is a provider of cloud-based Human Capital Management (HCM) software solutions delivered as Software-as-a-Service (SaaS) for small and medium-sized businesses. Its HCM suite, AsureHCM, includes cloud-based Payroll, Tax Services, and Time & Attendance software and Asure Marketplace as well as human resources (HR) services ranging from HR projects to completely outsourcing payroll and HR staff. AsureMarketplace automates interactions between its HCM systems with third-party providers and extend the range of services offered to employers and their employees. It offers these services directly and indirectly through its network of reseller partners. It provides three levels of HR services: HR support, which provides an on-demand HR resource library, phone and email support for any HR issues and compliance and policy updates; Strategic HR, which provides more in-depth support for strategic HR decision making, and Total HR that offers a complete HR outsourcing solution.",Technology,Software - Application,231.510000
ATAI,ATAI Life Scienc                                            ,ATAI Life Scienc                                            ,주식,167771990,NASD,Wallstrasse 16   Berlin   10179 Germany,https://atai.life/,Biotechnology & Medical Research (NEC),Christian Angermayer,"ATAI Life Sciences NV is a Germany-based clinical-stage biopharmaceutical company. The Company engages in developing various treatments that focuses on various mental health disorders. The Company's therapeutic lead compound include PCN-101, a subcutaneous formulation of R-ketamine for the treatment of treatment-resistant depression (TRD); RL-007, a cholinergic, glutamatergic, and GABA-B receptor modulator to treat cognitive impairment associated with schizophrenia; DMX-1002, an oral formulation of ibogaine for treating opioid use disorder (OUD); GRX-917, an oral formulation of a deuterated version of etifoxine for the generalized anxiety disorder treatment; and NN-101, a novel intranasal formulation of N-acetylcysteine to treat mild traumatic brain injuries. Its therapeutic candidates also comprise VLS-01, a formulation of N,N-dimethyltryptamine for treating TRD; EMP-01, an oral formulation of an 3,4-methyl enedioxy methamphetamine for the treatment of post-traumatic stress disorder.",Healthcare,Biotechnology,221.490000
ATEC,알파텍 홀딩스                                                     ,Alphatec Hldg                                               ,주식,143014000,NASD,"5818 El Camino Real   CARLSBAD CA 92008 United States",https://atecspine.com/,"Medical Equipment, Supplies & Distributi",Patrick Miles,"Alphatec Holdings, Inc., through its wholly owned subsidiaries, Alphatec Spine, Inc., EOS imaging S.A.S. and SafeOp Surgical, Inc., is a medical device company. The Company is focused on the design, development, and advancement of technology for surgical treatment of spine disorders. It has a range of product portfolios designed to address the spine's various pathologies. Its AIX product platform comprises of its EOS imaging system and VEA alignment mobile application, its SafeOp Neural InformatiX System and Valence. The EOS imaging system is designed to provide calibrated full-body imaging that enables a three-dimensional (3D) model of patients??skeletal systems. It has developed a patient positioning systems that integrates with its other access systems, providing for a more rigid construct and enhanced reproducibility. It offers procedure-specific access systems, including its Sigma-ALIF Access System, which allows for custom anterior abdominal exposure.",Healthcare,Medical Devices,832.930000
ATEN,A10 네트웍스                                                    ,A10 Networks                                                ,주식,73866109,NYSE,"2300 ORCHARD PKWY   SAN JOSE CA 95131 United States",https://www.a10networks.com/,Enterprise Software,Dhrupad Trivedi,"A10 Networks, Inc. is a provider of cybersecurity and infrastructure solutions for on-premises, hybrid cloud, and edge-cloud environments. Its product portfolio consists of six secure application solutions and two intelligent management and automation tools. Its software solutions are available to be delivered in a variety of form factors, such as embedded in optimized hardware appliances, as bare metal software, containerized software, virtual appliances and cloud-native software. Its secure application solutions include Thunder Application Delivery Controller (ADC), Thunder Carrier Grade Networking (CGN), Thunder SSL Insight (SSLi), and Thunder Convergent Firewall (CFW). Harmony Controller is its intelligent management and automation tool. Its A10 Defend Suite of Products include A10 Defend Threat Control, A10 Defend Orchestrator, A10 Defend Detector, and A10 Defend Mitigator. Its customers span global large enterprises and communications, cloud and Web service providers, and others.",Technology,Software - Infrastructure,991.280000
ATEX,pdvWireless                                                 ,Anterix                                                     ,주식,18594802,NASD,"3 Garret Mountain Plz Ste 401   WOODLAND PARK NJ 07424-3352 United States",https://anterix.com/,Wireless Telecommunications Services (NE,Morgan O'brien,"Anterix Inc. is a wireless communications company, which is focused on commercializing its spectrum assets to enable its targeted utility and critical infrastructure customers to deploy private broadband networks and solutions. The Company holds licensed spectrum in the 900-megahertz (MHz) band (896-901/935-940 MHz) with nationwide coverage throughout the contiguous United States, Hawaii, Alaska, and Puerto Rico. The Company is focused on providing transformative broadband solutions for critical infrastructure industries and enterprises, including private wireless connectivity on 900 MHz spectrum and next-generation communications platforms. The Company owns licenses of the 399 channels in the 900 MHz band in approximately 20 metropolitan market areas in the United States. The Company is positioned to enable the private Long-Term Evolution (LTE) broadband solutions that support customer-controlled operations.",Communication Services,Telecom Services,667.000000
ATGE,애드탈렘 글로벌 에듀케이션                                              ,Adtalem Glo Edu                                             ,주식,37689832,NYSE,"500 W Monroe St Fl 28   CHICAGO IL 60661-3773 United States",https://www.adtalem.com/,Miscellaneous Educational Service Provid,Stephen Beard,"Adtalem Global Education Inc. is a provider of professional talent to the healthcare industry. The Company operates through three segments: Chamberlain, Walden, and Medical and Veterinary. Chamberlain segment offers degree and non-degree programs in the nursing and health professions postsecondary education industry. This segment includes the operations of Chamberlain University (Chamberlain). Walden segment offers more than 100 online certificate, bachelor??, master??, and doctoral degrees, including those in nursing, education, counseling, business, psychology, public health, social work and human services, public administration and public policy, and criminal justice. Medical and Veterinary segment offers degree and non-degree programs in the medical and veterinary postsecondary education industry. This segment includes the operations of the American University of the Caribbean School of Medicine, Ross University School of Medicine, and Ross University School of Veterinary Medicine.",Consumer Defensive,Education & Training Services,2855.380000
ATI,ATI                                                         ,ATI                                                         ,주식,124463814,NYSE,"2021 McKinney Avenue, Suite 1100   DALLAS TX 75201 United States",https://www.atimaterials.com/,Aerospace & Defense (NEC),Robert Wetherbee,"ATI Inc. is an integrated specialty materials and components company. The Company operates through two segments: High Performance Materials & Components (HPMC) and Advanced Alloys & Solutions (AA&S). Its HPMC segment produces a range of high-performance materials, including titanium and titanium-based alloys, nickel- and cobalt-based and other specialty materials, in long product forms such as ingot, billet, bar, rod, wire, shapes and rectangles, and seamless tubes, plus precision forgings, components, and machined parts. Its HPMC segment products are used in aerospace and defense, medical, and energy markets. The Company?? AA&S segment produces zirconium and related alloys, including hafnium and niobium, nickel-based alloys, titanium and titanium-based alloys, and specialty alloys in a variety of forms including plate, sheet and Precision Rolled Strip (PRS) products. Its AA&S products are used in energy, aerospace and defense, automotive, and electronics markets.",Industrials,Metal Fabrication,8233.280000
ATKR,Atkore                                                      ,Atkore                                                      ,주식,35864729,NYSE,"16100 SOUTH LATHROP AVENUE   HARVEY IL 60426 United States",https://www.atkore.com/,Electrical Components & Equipment (NEC),William Waltz,"Atkore Inc. is a manufacturer of electrical products for commercial, industrial, data center, telecommunications and solar applications. The Company's segments include electrical, and safety and infrastructure. The electrical segment manufactures products used in the construction of electrical power systems, including conduit, cable and installation accessories, and serves contractors in partnership with the electrical wholesale channel. The safety and infrastructure segment designs and manufactures solutions, including metal framing, mechanical pipe, perimeter security and cable management for the protection of infrastructure. These solutions are marketed to contractors, original equipment manufacturers and end users. Its products and services include Toggle Dropdown, Conduit, Traffic Products and Cable Tray Systems. It manufactures products in approximately 49 facilities and operates a total of 7.5 million square feet of manufacturing and distribution space in eight countries.",Industrials,Electrical Equipment & Parts,3592.210000
ATLC,애틀랜티커스 홀딩스                                                  ,Atlanticus Hldg                                             ,주식,14744679,NASD,"SUITE 400, FIVE CONCOURSE PARKWAY   ATLANTA GA 30328 United States",https://www.atlanticus.com/,Consumer Leasing,David Hanna,"Atlanticus Holdings Corporation is a financial technology company. It is engaged in providing products and services to lenders in the United States. The Company?? Credit as a Service (CaaS) segment provides private label credit and general-purpose credit cards originated by lenders through multiple channels, including retail and healthcare, direct mail solicitation, digital marketing and partnerships with third parties. Its flexible technology solutions allow its bank partners to integrate its paperless process and instant decisioning platform with the existing infrastructure of participating retailers, healthcare providers and other service providers. Within its Auto Finance segment, its CAR subsidiary operations principally purchase and/or service loans secured by automobiles from or for, and also provide floor-plan financing for, a pre-qualified network of independent automotive dealers and automotive finance companies in the buy-here, pay-here used car business.",Financial Services,Credit Services,514.880000
ATLO,에임스 내셔널                                                     ,Ames National                                               ,주식,8992167,NASD,PO Box 846   AMES IA 50010 United States,https://www.amesnational.com/,Banks (NEC),John Nelson,"Ames National Corp is a bank holding company for its banking subsidiaries, First National Bank, Ames, Iowa (FNB); State Bank & Trust Co., Nevada, Iowa (SBT); Boone Bank & Trust Co., Boone, Iowa (BBT); Reliance State Bank, Story City, Iowa (RSB); United Bank & Trust Co., Marshalltown, Iowa (UBT), and Iowa State Savings Bank, Creston, Iowa (ISSB). The Bank?? lending activities consist primarily of short-term and medium-term commercial and agricultural real estate loans, residential real estate loans, agricultural and business operating loans and lines of credit, equipment loans, vehicle loans, personal loans and lines of credit, home improvement loans and origination of mortgage loans for sale into the secondary market. It provides a variety of checking, savings and time deposits, cash management services, merchant credit card processing, safe deposit boxes, wire transfers, direct deposit, and automated/video teller machine access and automatic drafts (ACH) for various accounts.",Financial Services,Banks - Regional,168.830000
ATMU,Atmus Filtration                                            ,Atmus Filtration                                            ,주식,83359426,NYSE,"26 Century Boulevard   NASHVILLE TN 37214 United States",https://www.atmus.com/,Engine & Powertrain Systems,Stephanie Disher,"Atmus Filtration Technologies Inc. is engaged in filtration and media solutions. The Company designs and manufactures advanced filtration products, principally under the Fleetguard brand, that enable lower emissions and provide superior asset protection. It serves customers across truck, bus, agriculture, construction, mining, marine and power generation vehicle, and equipment markets, along with providing comprehensive aftermarket support and solutions. Its products include fuel filters, lube filters, air filters, crankcase ventilation, hydraulic filters and coolants and other chemicals. It offers products for first fit and aftermarket applications to original equipment manufacturers, dealers/distributors, and end-users. The Company produces and sells Fleetguard branded products in over 140 countries, including countries in North America, Europe, South America, Asia, Australia, and Africa. Fleetguard branded products are available through distribution centers worldwide.",Industrials,Pollution & Treatment Controls,2866.730000
ATNI,ATN 인터내셔널                                                   ,ATN Intl                                                    ,주식,15114216,NASD,"500 Cummings Ctr   BEVERLY MA 01915-6142 United States",https://atni.com/,Integrated Telecommunications Services (,Michael Prior,"ATN International, Inc. is a provider of digital infrastructure and communications services. The Company operates in the United States and internationally, including the Caribbean region. Its segments include International Telecom and US Telecom. The International Telecom segment provides mobility services, fixed services, carrier services, and managed services in Bermuda, the Cayman Islands, Guyana, and the US Virgin Islands. The US Telecom segment provides fixed services, carrier services, mobility services, and managed services in Alaska and parts of the western United States. Through its subsidiaries, it provides advanced wireless and wireline connectivity to residential, business, and government customers, including a range of high-speed Internet and data services, fixed and mobile wireless solutions, and video and voice services; and carrier and enterprise communications services, such as terrestrial and submarine fiber optic transport, and communications tower facilities.",Communication Services,Telecom Services,403.850000
ATNM,API                                                         ,API                                                         ,주식,31154376,-,-,-,-,-,-,-,-,0.000000
ATO,애트모스 에너지                                                    ,Atmos Energy                                                ,주식,155232827,NYSE,"1800 Three Lincoln Ctr, 5430 Lbj Freeway   DALLAS TX 75240 United States",https://www.atmosenergy.com/,Natural Gas Utilities (NEC),John Akers,"Atmos Energy Corporation is a natural gas-only distributor. The Company delivers natural gas to over 3.3 million distribution customers in over 1,400 communities across eight states located primarily in the South. The Company manages proprietary pipeline and storage assets, including intrastate natural gas pipeline systems in Texas. Its segments include distribution, and pipeline and storage. The distribution segment comprises its regulated natural gas distribution and related sales operations in eight states. The pipeline and storage segment comprises the pipeline and storage operations of its Atmos Pipeline-Texas (APT) division and its natural gas transmission operations in Louisiana. APT division is an intrastate pipeline operator in Texas with a heavy concentration in the established natural gas producing areas of central, northern and eastern Texas, extending into or near the major producing areas of the Barnett Shale, the Texas Gulf Coast and the Permian Basin of West Texas.",Utilities,Utilities - Regulated Gas,20209.760000
ATOS,아토사 제네틱스                                                    ,Atossa Genetics                                             ,주식,125757416,NASD,"10202 5Th Avenue Ne, Suite 200   SEATTLE WA 98125 United States",https://atossatherapeutics.com/,Biotechnology & Medical Research (NEC),Steven Quay,"Atossa Therapeutics, Inc. is a clinical-stage biopharmaceutical company. It is engaged in developing medicines in areas of significant unmet medical need in oncology with a focus on using (Z)-endoxifen to prevent and treat breast cancer. Its lead drug candidate under development is oral (Z)-endoxifen, which it is developing for both the prevention and treatment of breast cancer. (Z)-endoxifen is the potent Selective Estrogen Receptor Modulator for estrogen receptor inhibition and causes estrogen receptor degradation. In addition to its potent anti-estrogen effects, (Z)-endoxifen has been shown to target PKCB1, a known oncogenic protein, at clinically attainable blood concentrations. It is developing a form of (Z)-endoxifen which is administered orally for the potential treatment of breast cancer and reduction of breast density. It has completed four Phase I clinical studies and two Phase II clinical studies with its proprietary (Z)-endoxifen (including oral and topical formulations).",Healthcare,Biotechnology,182.350000
